Device,36,40,44,48,52,56,60,64,100,104,108,112,116,120,124,128,132,136,140,144,149,153,157,161,165,SS,.11,MU-MIMO,.11v,Link,Region,Version,Max Tx,OWE,SAE,.11w,Cap. Chan.,Notes
Acer Chromebook R13,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,N,Y,PCAP,EU,ChromeOS 76.0.3809.38 beta 32,18,,,,140,Interesting channel-support IEs
Amazon Echo,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,n,,N,PCAP,US,,11,,,,36,
Amazon Echo Dot,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,n,,,PCAP,US,,15,,,,44,
Amazon Fire Phone,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,1,ac,,Y,PCAP,US,,30,,,,149,Unlocked
Amazon Fire TV,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,,,PCAP,US,,7,,,,52,
Amazon Kindle Fire HD,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,Y,Y,1,n,,,PCAP,US,3rd Gen,13,,,,153,
Amazon Kindle Fire HD-8,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,1,n,,,PCAP,US,6th Gen-5.3.2.0,,,,,153,
Amazon Kindle Fire HD-8,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,1,n,,,,EU,6th Gen-5.6.0.1,,,,,48,
Amazon Kindle Fire 5th Gen,,,,,,,,,,,,,,,,,,,,,,,,,,1,n,,N,PCAP,EU,,,,,,,
Apple TV 3rd Gen,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,PCAP,US,,,,,,,Need a pcap for this device
Apple TV 4th Gen,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,N,Y,PCAP,US,,19,,,,60,
Apple TV 4K,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,2,ac,N,Y,PCAP,EU,MP7P2X/A,21,,,,100,
Apple Watch Series 4,,,,,,,,,,,,,,,,,,,,,,,,,,1,n,,Y,PCAP,EU,,15,,,,1,2.4GHz only
ASCOM i62,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,1,n,,N,PCAP,EU,,10,,,,100,
